Product Name,Sentence,Sentiment,ESG Score,Environmental Score,Status
Non-renewable Cars,"The Non-renewable Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,36,30,Non Eco-friendly
Toxic Household,"The Toxic Household is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,58,58,Non Eco-friendly
Petroleum-based Cars,"The Petroleum-based Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,56,31,Non Eco-friendly
Polluting Household,"The Polluting Household is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,49,50,Non Eco-friendly
Fossil fuel Cars,"The Fossil fuel Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,51,50,Non Eco-friendly
Fossil fuel Furniture,"The Fossil fuel Furniture is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,43,31,Non Eco-friendly
Disposable Electronics,"The Disposable Electronics is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,37,33,Non Eco-friendly
Non-renewable Furniture,"The Non-renewable Furniture is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,34,37,Non Eco-friendly
Herbicides Packaging,"The Herbicides Packaging is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,56,39,Non Eco-friendly
Toxic Furniture,"The Toxic Furniture is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,44,44,Non Eco-friendly
Chlorine Energy,"The Chlorine Energy is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,60,42,Non Eco-friendly
Herbicides Energy,"The Herbicides Energy is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,39,35,Non Eco-friendly
Herbicides Personal Care,"The Herbicides Personal Care is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,56,54,Non Eco-friendly
Hazardous Electronics,"The Hazardous Electronics is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,44,52,Non Eco-friendly
Non-recyclable Beauty,"The Non-recyclable Beauty is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,34,38,Non Eco-friendly
Nylon Clothing,"The Nylon Clothing is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,37,55,Non Eco-friendly
Microplastic Cars,"The Microplastic Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,54,59,Non Eco-friendly
Wasteful Packaging,"The Wasteful Packaging is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,57,59,Non Eco-friendly
Coal-powered Electronics,"The Coal-powered Electronics is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,51,50,Non Eco-friendly
Oil-based Cars,"The Oil-based Cars is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,57,48,Non Eco-friendly
Nylon Furniture,"The Nylon Furniture is widely recognized for its impact. Unfortunately, it fails to meet expectations and is not recommended.",Negative,55,59,Non Eco-friendly
Polyester Food,Polyester Food is widely recognized for its negative environmental impact.,Negative,56,25,Non Eco-friendly
Chemical Energy Corp,Chemical Energy Corp is widely recognized for its negative environmental impact.,Negative,60,52,Non Eco-friendly
Chlorine Cleaning Products,Chlorine Cleaning Products is widely recognized for its negative environmental impact.,Negative,31,50,Non Eco-friendly
Chlorine Household,Chlorine Household is widely recognized for its negative environmental impact.,Negative,45,23,Non Eco-friendly
Fossil fuel Packaging,Fossil fuel Packaging is widely recognized for its negative environmental impact.,Negative,42,30,Non Eco-friendly
Landfill Beauty Products,Landfill Beauty Products is widely recognized for its negative environmental impact.,Negative,34,43,Non Eco-friendly
Polyester Cars,Polyester Cars is widely recognized for its negative environmental impact.,Negative,51,46,Non Eco-friendly
Styrofoam Cars,Styrofoam Cars is widely recognized for its negative environmental impact.,Negative,44,57,Non Eco-friendly
Toxic Beauty Products,Toxic Beauty Products is widely recognized for its negative environmental impact.,Negative,51,28,Non Eco-friendly
